operation,operand_1,operand_2
DIV,851,266
DIV,261,67
MUL,17,992
SUM,499,967
POW,751,325
POW,316,361
DIV,431,920
DIV,802,88
SUM,527,294
MUL,239,902
POW,721,169
POW,934,471
SUB,310,83
MUL,227,57
POW,644,177
SUM,187,577
SUM,116,616
DIV,663,628
MUL,263,712
MUL,20,889
DIV,553,811
POW,116,492
POW,860,264
SUM,612,82
DIV,562,137
SUM,614,836
SUB,239,766
SUM,579,36
SUB,421,818
SUB,587,919
POW,685,585
MUL,121,262
DIV,195,714
MUL,644,335
SUB,697,1
MUL,438,37
MUL,237,314
SUM,301,133
MUL,407,2
DIV,838,925
SUM,793,246
SUM,843,147
DIV,753,800
MUL,208,549
SUM,718,821
MUL,443,327
POW,232,785
DIV,469,674
SUM,268,702
MUL,933,841
POW,973,146
DIV,848,29
POW,786,868
DIV,339,540
DIV,715,47
SUM,616,595
DIV,940,625
SUM,383,933
POW,67,690
DIV,405,188
SUB,693,863
SUB,888,702
DIV,481,644
DIV,452,208
SUB,529,946
MUL,325,646
SUM,146,923
MUL,720,253
MUL,495,558
POW,108,901
POW,764,776
MUL,125,561
POW,569,126
POW,569,94
SUM,950,542
DIV,15,244
SUB,170,184
DIV,959,628
MUL,918,238
POW,253,669
DIV,620,272
DIV,225,146
DIV,695,289
POW,663,995
SUB,584,156
MUL,157,997
SUB,846,951
DIV,2,286
DIV,333,551
MUL,547,648
SUB,257,606
SUM,499,849
DIV,793,527
SUM,629,32
POW,105,59
MUL,532,598
SUB,896,87
MUL,407,229
POW,720,520
DIV,316,682
SUB,388,948
MUL,530,876
MUL,534,878
MUL,873,108
SUB,138,572
MUL,646,12
DIV,746,963
SUB,883,862
SUM,788,925
DIV,460,361
MUL,97,544
SUM,784,632
SUB,661,632
SUM,443,657
MUL,915,844
POW,530,305
DIV,45,470
SUB,262,319
SUM,312,969
DIV,965,374
SUM,419,270
POW,18,662
POW,295,511
MUL,972,472
SUB,883,820
MUL,64,577
MUL,629,229
SUB,147,325
MUL,144,955
DIV,970,255
MUL,258,563
MUL,339,46
POW,630,233
MUL,876,372
SUM,256,790
SUM,789,696
SUB,343,557
DIV,113,555
DIV,601,942
SUB,182,9
POW,78,10
SUB,926,592
SUM,650,986
DIV,59,501
POW,256,51
SUM,627,858
POW,722,220
SUM,260,769
MUL,817,124
POW,322,26
MUL,262,473
MUL,649,726
SUB,860,907
DIV,827,255
SUB,248,198
POW,88,569
SUB,957,631
DIV,215,656
DIV,703,856
POW,412,838
SUM,174,277
SUB,952,723
MUL,539,887
SUB,705,584
SUM,71,751
MUL,866,670
SUB,401,904
DIV,927,305
POW,320,714
MUL,81,347
SUB,338,829
POW,374,515
MUL,77,66
MUL,128,964
MUL,274,678
SUB,178,764
POW,280,234
POW,844,699
DIV,940,784
SUM,367,534
SUM,15,813
SUB,812,232
SUB,942,716
POW,770,657
MUL,228,611
SUB,308,128
SUM,136,259
MUL,840,326
POW,632,902
POW,393,665
MUL,772,21
SUB,364,837
SUM,640,823
POW,201,907
MUL,703,614
SUB,817,525
POW,650,93
DIV,665,475
POW,408,682
MUL,142,143
SUB,329,467
POW,961,522
MUL,105,490
MUL,57,762
SUM,839,509
SUM,746,766
SUB,968,291
DIV,351,242
DIV,20,693
DIV,404,706
DIV,214,872
SUB,225,56
MUL,717,810
MUL,570,230
POW,690,73
DIV,701,766
MUL,949,313
SUB,927,149
SUB,734,643
POW,484,397
DIV,834,12
SUB,434,931
SUB,183,673
DIV,601,538
DIV,255,567
MUL,490,401
SUB,535,206
POW,655,110
POW,359,287
SUB,210,237
SUM,178,719
SUB,335,219
SUM,874,979
DIV,328,957
SUB,503,757
MUL,572,250
MUL,927,340
MUL,982,683
POW,974,283
POW,551,751
POW,463,626
POW,353,703
SUM,187,433
DIV,31,6
MUL,988,432
MUL,26,70
MUL,861,87
SUB,260,398
POW,484,729
SUM,851,655
MUL,355,753
POW,408,764
MUL,711,740
SUB,832,938
POW,636,923
POW,672,70
MUL,113,983
SUM,309,81
MUL,947,811
SUM,644,995
SUM,651,464
DIV,248,907
DIV,639,751
DIV,167,828
SUM,125,114
MUL,289,90
DIV,230,36
SUB,947,968
SUM,48,73
SUM,407,724
SUM,558,575
SUM,233,90
DIV,126,40
POW,77,293
DIV,466,575
MUL,334,322
SUM,100,973
DIV,478,846
DIV,730,819
SUM,102,808
SUB,491,700
SUB,833,768
SUM,889,106
DIV,455,723
MUL,787,929
SUB,898,519
POW,747,90
MUL,693,13
SUM,612,642
POW,526,784
SUB,901,455
MUL,852,747
POW,804,170
POW,391,736
POW,323,853
DIV,885,189
MUL,544,669
MUL,30,990
DIV,647,370
MUL,503,467
SUB,231,245
MUL,86,586
SUM,904,956
DIV,910,506
SUB,767,983
SUB,159,454
POW,882,426
POW,596,958
MUL,29,80
POW,986,743
POW,512,272
SUB,203,773
MUL,576,453
SUM,825,787
SUM,522,977
POW,236,900
SUB,446,118
MUL,880,478
MUL,830,947
SUB,279,651
SUB,166,914
SUB,438,537
SUB,498,158
SUM,61,193
MUL,562,224
POW,327,420
SUM,651,377
POW,4,908
MUL,718,17
DIV,830,429
DIV,314,805
MUL,660,733
SUM,5,366
SUB,343,280
SUM,691,334
MUL,673,778
MUL,292,431
MUL,156,306
POW,566,838
POW,942,364
SUB,59,175
DIV,478,304
POW,635,269
SUM,111,602
SUB,125,314
SUM,129,461
SUB,782,681
SUB,387,104
MUL,814,823
SUM,954,178
MUL,968,786
MUL,679,354
POW,500,891
POW,451,287
DIV,934,193
MUL,183,573
SUB,648,842
DIV,989,920
DIV,145,236
SUM,903,695
MUL,636,592
SUB,623,923
POW,121,707
MUL,499,181
MUL,811,785
POW,279,498
POW,176,688
SUM,578,339
POW,723,336
SUB,295,971
SUB,699,994
SUB,26,856
SUB,938,42
SUB,167,986
SUB,90,177
SUB,114,291
SUM,589,257
MUL,971,815
SUB,181,998
MUL,618,178
DIV,637,995
MUL,177,587
MUL,309,804
DIV,561,74
SUM,515,977
DIV,570,764
SUM,97,903
MUL,765,937
POW,807,294
DIV,351,316
SUM,136,89
MUL,313,421
DIV,4,935
MUL,577,116
MUL,868,26
DIV,97,713
SUB,552,695
SUM,400,559
POW,813,78
MUL,584,223
MUL,833,107
MUL,53,270
DIV,772,164
SUB,681,118
POW,558,856
DIV,796,484
MUL,966,92
DIV,45,66
DIV,398,653
POW,736,801
DIV,698,455
